time,ego_speed,ego_acc,obs_speed,obs_s,light_state,yield_flag
0.517139,0.0100803,5,,,0,0
1.01742,0.000284357,5,,,0,0
1.56766,5.00381e-05,5,,,0,0
2.11625,2.30556,3.25582,,,0,0
2.61786,2.59489,2.20126,,,0,0
3.16632,2.72557,1.59343,,,0,0
3.6669,2.75523,1.44271,,,0,0
4.1675,2.85334,0.908367,,,0,0
4.69807,2.50569,2.56671,,,0,0
5.2437,2.68914,1.77196,,,0,0
5.79737,2.92372,0.489437,,,0,0
6.34336,2.67336,1.84708,,,0,0
6.84359,2.65959,1.9115,,,0,0
7.34586,3.00863,-0.0577974,,,0,0
7.86797,2.53668,2.44406,,,0,0
8.36834,2.87826,0.763532,,,0,0
8.86847,2.77447,1.34233,,,0,0
9.36996,2.6349,2.02464,,,0,0
9.91984,3.05713,-0.391905,,,0,0
10.4683,2.50716,2.561,,,0,0
11.0176,2.89464,0.666261,,,0,0
11.5188,2.69772,1.73057,,,0,0
12.0676,2.52369,2.49604,,,0,0
12.5693,3.00221,-0.0147706,,,0,0
13.1171,2.59059,2.21976,,,0,0
13.6682,2.83132,1.03322,,,0,0
14.217,3.03899,-0.26502,,,0,0
14.7189,2.72255,1.6085,,,0,0
15.266,3.12183,-0.863013,,,0,0
15.7666,2.60414,2.16113,,,0,0
16.3171,3.04551,-0.31034,,,0,0
16.8177,2.49366,2.61312,,,0,0
17.3672,2.71267,1.65749,,,0,0
17.9176,3.1169,-0.826077,,,0,0
18.4652,2.54432,2.41316,,,0,0
19.0179,3.00278,-0.0185782,,,0,0
19.568,2.58992,2.22266,,,0,0
20.1171,2.83634,1.00497,,,0,0
20.6677,3.04435,-0.302274,,,0,0
21.2168,2.66858,1.86955,,,0,0
21.7173,3.12179,-0.862732,,,0,0
22.266,2.54962,2.39151,,,0,0
22.7666,2.84032,0.982497,,,0,0
23.2677,2.89726,0.650543,,,0,0
23.8167,2.72659,1.58836,,,0,0
24.3169,3.03972,-0.270088,,,0,0
24.8664,2.5549,2.36987,,,0,0
25.3673,2.85189,0.916635,,,0,0
25.8673,2.90248,0.619101,,,0,0
26.3675,2.78976,1.26103,,,0,0
26.9167,3.11986,-0.848243,,,0,0
27.4184,2.66369,1.89243,,,0,0
27.9667,3.10258,-0.71974,,,0,0
28.4677,2.51668,2.52372,,,0,0
29.0158,3.00682,-0.0455961,,,0,0
29.5162,2.51226,2.5411,,,0,0
30.0171,2.95261,0.308506,,,0,0
30.5177,2.59306,2.20916,,,0,0
31.0671,2.83136,1.03297,,,0,0
31.6164,3.03375,-0.228842,,,0,0
32.1165,2.71629,1.63961,,,0,0
32.667,3.11633,-0.821803,,,0,0
