time,ego_speed,ego_acc,obs_speed,obs_s,light_state
79.8981,3.01306,1.13298,2.6049,8,3
80.4509,3.00648,1.30794,2.83976,8,3
80.9977,2.6332,0.950447,3.03233,7,3
81.4986,3.14505,0.891871,2.71484,8,3
82.0488,2.76684,0.677012,3.12409,7,3
82.5958,3.52503,4.81152,,,3
83.1467,5.61556,3.7861,,,3
83.6467,7.04774,1.98832,,,3
84.1467,6.67308,2.57944,,,3
84.6977,7.17062,1.77271,,,3
85.1982,7.00648,2.05822,,,3
85.7468,6.68142,2.56732,,,3
86.2959,7.22801,1.66815,,,3
86.7972,7.09403,1.90842,,,3
87.3446,6.70762,2.52894,,,3
87.8474,7.19114,1.73561,,,3
88.3954,7.42178,1.29623,,,3
88.8976,6.61731,2.65935,,,3
89.447,7.2242,1.67517,,,3
89.9964,7.2208,1.68142,,,3
