time,target_speed,current_speed,throttle,brake
0.371168,6.44948,0.146962,1,0
0.431775,6.44935,0.0855069,1,0
0.523678,6.44933,0.0855069,1,0
0.568926,6.44982,0.0354266,1,0
0.623698,6.44994,0.0265231,1,0
0.67186,6.45008,0.0166014,1,0
0.725208,6.45014,0.0123944,1,0
0.769064,6.45226,0.00775296,1,0
0.812778,6.45277,0.0057609,1,0
0.865629,6.45723,1.20007,1,0
0.924734,6.05112,1.54666,1,0
0.979758,6.04224,2.25997,1,0
1.02341,6.12677,2.74377,1,0
1.06549,6.27495,3.1982,1,0
1.1207,6.39282,3.46894,1,0
1.18261,6.65567,3.9538,1,0
1.22085,6.87575,4.35769,1,0
1.25849,7.03137,4.62735,1,0
1.32049,7.21723,4.93977,1,0
1.36001,7.45422,5.36511,1,0
1.4119,7.55732,5.62079,1,0
1.47112,7.74216,6.17615,1,0
1.50836,7.87697,6.35834,1,0
1.55955,7.93948,6.65025,1,0
1.61419,8.00012,6.98193,1,0
1.67281,8.00011,7.48907,0.926722,0
1.71062,7.99821,7.68378,0.95106,0
1.76653,7.94673,7.93509,0,0
1.81828,7.85899,8.34666,0.564894,0
1.86464,7.8047,8.59961,0.476503,0
1.91901,7.75592,8.84509,0.320883,0
1.96139,7.7171,9.07737,0.159464,0
2.01161,7.70574,9.09502,0.13945,0
2.06703,7.71167,9.17825,0.0122282,0
2.11395,7.69656,9.1565,0,0
2.15857,7.49978,9.09534,0,0.237051
2.21393,7.55831,8.89488,0,0.226595
2.26341,7.30918,8.8063,0,0.372617
2.32692,7.27691,8.636,0,0.405852
2.36355,7.27667,8.30603,0,0.35221
2.40618,7.1535,8.22638,0,0.431811
2.45909,7.09955,7.99007,0,0.421419
2.52026,6.99776,7.58712,0,0.351375
2.57635,6.88452,7.41257,0,0.361598
2.6154,6.80821,7.29769,0,0.377467
2.66701,6.744,6.99405,0,0.308669
2.71668,6.70012,6.93002,0,0.31541
2.76138,6.65186,6.69604,0,0
2.81208,6.62736,6.55762,0,0
2.8711,6.62587,6.36272,0,0
2.91488,6.65225,6.21301,0.000582777,0
2.96844,6.67588,6.10614,0.0628479,0
3.01283,6.71893,5.9044,0.224338,0
3.06018,6.74843,5.87281,0.241315,0
3.11306,6.81394,5.7521,0.402161,0
3.16687,6.88777,5.68402,0.506501,0
3.21012,6.99915,5.64438,0.638843,0
3.26569,7.07018,5.64716,0.721236,0
3.31574,7.21451,5.7128,0.83965,0
3.3578,7.30663,5.80049,0.909161,0
3.40917,7.46273,5.95035,1,0
3.45631,7.4735,6.13706,0.971675,0
3.50565,7.55889,6.37772,0.999055,0
3.5581,7.83001,6.66521,1,0
3.60579,7.97259,6.94258,1,0
3.6622,7.99981,7.21666,1,0
3.71239,8.00015,7.59434,0.887344,0
3.75892,7.96129,7.89076,0,0
3.81185,7.8911,8.21483,0.629398,0
3.86166,7.82618,8.5149,0.480056,0
3.92746,7.78942,8.70467,0.394193,0
3.96143,7.75296,8.89207,0.255009,0
4.01253,7.73961,8.96206,0.197148,0
4.0637,7.73087,9.03025,0.0964923,0
4.11048,7.80173,9.03626,0.0857069,0
4.17379,7.6325,8.998,0,0
4.21281,7.62706,8.89046,0,0
4.26615,7.62814,8.89046,0,0.213987
4.31285,7.51383,8.65736,0,0.241019
4.3619,7.25693,8.52714,0,0.36157
4.42878,7.3894,8.31907,0,0.298161
4.46724,7.24285,8.0364,0,0.298136
4.51801,7.21576,7.91853,0,0.308527
4.55592,7.11944,7.67409,0,0.289965
4.61373,7.07207,7.49668,0,0.269928
4.66041,6.99107,7.18029,0,0
4.7111,6.94895,7.11847,0,0.20217
4.77151,6.92275,6.93123,0,0
4.81386,6.90498,6.67014,0.019399,0
4.86536,6.90249,6.63865,0,0
4.91155,6.91972,6.46429,0.117628,0
4.964,6.93902,6.35216,0.17684,0
5.03264,6.97535,6.20816,0.295255,0
5.08893,6.97058,6.09346,0.361938,0
5.12385,7.02768,6.01581,0.47322,0
5.17163,7.12359,5.98418,0.580224,0
5.21176,7.18774,5.9795,0.65714,0
5.2703,7.27744,6.05287,0.720085,0
5.31132,7.3426,6.08255,0.812788,0
5.36148,7.46977,6.18695,0.893231,0
5.40441,7.64014,6.35486,0.965041,0
5.45944,7.7643,6.49643,1,0
5.50989,7.9249,6.77167,1,0
5.55474,7.98711,7.04104,0.995642,0
5.60358,7.99995,7.26932,0.968053,0
5.65627,8.0001,7.59117,0.857766,0
5.70956,7.95708,7.91681,0,0
5.7627,7.8831,8.2528,0.559938,0
5.80839,7.82417,8.52831,0.433338,0
5.85998,7.79587,8.67698,0.371076,0
5.90878,7.76416,8.84082,0.23833,0
5.95296,7.75029,8.9278,0.163814,0
6.00618,7.75328,8.96307,0.101466,0
6.06482,7.76523,8.95637,0.0512466,0
6.10659,7.55648,8.89685,0,0
6.15495,7.6567,8.82235,0,0
6.20337,7.39955,8.69392,0,0.254236
6.25925,7.41281,8.46979,0,0.234568
6.30986,7.40774,8.37777,0,0.262341
6.36013,6.91296,8.17401,0,0.43986
6.40999,6.8559,7.99432,0,0.465243
6.45972,6.75035,7.75718,0,0.479597
6.51193,6.64855,7.53071,0,0.488891
6.56075,6.28624,7.17409,0,0.544153
6.61429,5.88094,7.08722,0,0.727982
6.67315,5.804,6.8258,0,0.72472
6.7128,5.33323,6.57348,0,0.875592
6.76095,5.24363,6.38265,0,0.9085
6.81326,5.14718,6.08658,0,0.895003
6.86455,5.07457,5.82338,0,0.873224
6.92838,5.0019,5.54293,0,0.832965
6.96991,4.53839,5.23658,0,0.929861
7.01212,4.51636,5.06308,0,0.909649
7.05978,4.48627,4.79497,0,0.844861
7.11405,4.45931,4.57692,0,0.78504
7.1614,4.41123,4.30656,0,0.700961
7.2123,4.37984,4.12902,0,0.634762
7.2641,4.32876,3.89487,0,0.544652
7.35446,4.28668,3.71292,0,0.461269
7.39949,3.81312,3.36846,0,0.479775
7.4455,3.80284,3.36846,0,0.457313
7.48744,3.75703,3.14283,0,0.357525
7.52444,3.74686,3.05782,0,0.289988
7.57356,3.74688,2.89966,0,0
7.61875,3.74314,2.8491,0,0
7.66656,3.76787,2.75812,0,0
7.72928,3.78237,2.71469,0.0570081,0
7.78521,3.81184,2.61712,0.190073,0
7.84712,3.8149,2.61712,0.225726,0
7.89106,3.80215,2.53989,0.340524,0
7.93383,3.79649,2.53989,0.393064,0
7.97555,3.77749,2.55012,0.450286,0
8.02638,3.77269,2.55012,0.529432,0
8.08036,3.75543,2.7182,0.478189,0
8.11814,3.76193,2.7182,0.600452,0
8.16502,3.74917,2.89183,0.53438,0
8.21696,3.76155,2.94481,0.61413,0
8.26578,3.80691,3.11087,0.593233,0
8.32465,3.84334,3.22555,0.618002,0
8.3871,3.42032,3.43871,0,0
8.4337,3.42813,3.60281,0.330513,0
8.50383,3.43338,3.81965,0.223041,0
8.56564,3.42898,3.89584,0.208544,0
8.64263,2.89374,3.99135,0,0
8.69344,2.89333,4.02561,0,0
8.73713,2.8069,4.02146,0,0.249651
8.78442,2.79827,4.00232,0,0.318214
8.83565,2.7582,3.92419,0,0.374854
8.88939,2.51318,3.81547,0,0.500697
8.93427,2.58202,3.66907,0,0.490583
8.98812,2.65226,3.5368,0,0.472779
9.03723,2.7131,3.31017,0,0.407988
9.0887,2.79245,3.2545,0,0.388454
9.13395,2.81055,3.08066,0,0.337483
9.1919,2.79993,3.00197,0,0.325779
9.23828,2.75711,2.8305,0,0
9.29629,2.73139,2.7538,0,0
9.34336,2.67425,2.63824,0,0
9.39195,2.64826,2.63824,0,0
9.43962,2.59437,2.54612,0,0
9.48944,2.56131,2.50752,0,0
9.54093,2.53286,2.44522,0,0
9.5837,2.5603,2.40445,0,0
9.63939,2.6323,2.35056,0,0
9.69453,2.71493,2.30649,0,0
9.74326,2.79181,2.2447,0.0452,0
9.78362,2.79968,2.21132,0.064475,0
9.84132,2.78611,2.16283,0.111148,0
9.88873,2.75456,2.12479,0.142483,0
9.9448,2.72111,2.09917,0.172995,0
9.99473,2.67381,2.08375,0.190982,0
10.0431,2.63636,2.0823,0.211472,0
10.0872,2.59101,2.09198,0.218093,0
10.1422,2.55812,2.10469,0.233532,0
10.1898,2.52236,2.13728,0.227949,0
10.2368,2.54497,2.15962,0.271736,0
10.2892,2.62731,2.20011,0.323241,0
10.3384,2.72986,2.25046,0.371807,0
10.4175,2.79699,2.27745,0.412205,0
10.4649,2.8266,2.42034,0.354307,0
10.5237,2.82064,2.44658,0.390777,0
10.568,2.7946,2.57421,0.31838,0
10.6142,2.80369,2.57421,0.383883,0
10.6584,2.85275,2.72455,0.326062,0
10.7052,2.85396,2.72455,0.364953,0
10.7534,2.80891,2.86467,0,0
10.7977,2.82558,2.91117,0,0
10.85,2.87697,2.9899,0.272066,0
10.8964,2.92007,3.00534,0,0
10.9379,2.9808,2.99124,0,0
11.0076,3.00869,2.98812,0,0
11.0821,3.06306,2.94214,0.392457,0
11.1347,3.07121,2.88337,0.415115,0
11.1811,3.09291,2.81557,0.467174,0
11.2305,3.09191,2.81535,0.45643,0
11.2863,3.07274,2.89436,0.406492,0
11.3424,3.06529,2.92986,0.417448,0
11.4045,3.013,3.09365,0,0
11.4534,3.00081,3.09365,0,0
11.5024,2.93041,3.25413,0.194721,0
11.556,2.89935,3.27381,0.210049,0
11.6084,2.84311,3.25928,0.174445,0
11.6559,2.82795,3.25928,0.151675,0
11.701,2.75945,3.25466,0.0869117,0
11.7485,2.73203,3.2534,0.0585721,0
11.8237,2.68359,3.24207,0.00990049,0
11.8743,2.62399,3.20568,0,0
11.9272,2.6175,3.16591,0,0
11.9769,2.57424,3.11551,0,0
12.0261,2.53476,3.06021,0,0
12.0699,2.50261,3.00083,0,0
12.1217,2.4903,2.95531,0,0
12.1737,2.48842,2.88252,0,0
12.2249,2.49684,2.82875,0,0
12.2778,2.51242,2.76143,0,0
12.3195,2.53557,2.68219,0,0
12.369,2.54778,2.66664,0,0
12.4246,2.57685,2.59378,0,0
